ID_article,Rank,Authors,Year,Title,Journal,DOI,Citations,Model_Name,Model_Type,Spatial_Scope,Temporal_Scope,Country,Ocean_Basin,FAO_Zone,Taxa,Drivers,Application,Key_Finding,Innovation,Limitations,Score,Score_Justification,Flag,Notes
W2982988584,NA,"Oliver ECJ, Burrows MT, Donat MG et al.",2019,Projected Marine Heatwaves in the 21st Century and the Potential for Ecological Impact,Frontiers in Marine Science,10.3389/fmars.2019.00734,NA,CMIP5 GCMs,Climate projection,Global oceans,"1982-2005 (historical), 2031-2100 (projections)",NA,Global,NA,NA,Daily SST from 7 CMIP5 models,Climate adaptation; Marine management,NA,NA,Coarse resolution; no direct ecological modeling,5,NA,NA,Key reference for MHW projections and ecosystem impacts
W2101068789,NA,"Fulton EA, Link JS, Kaplan IC et al.",2011,Lessons in modelling and management of marine ecosystems: the Atlantis experience,Fish and Fisheries,10.1111/j.1467-2979.2011.00412.x,NA,ATLANTIS,End-to-end ecosystem model,Regional (multiple systems),Decadal simulations,NA,Multiple,NA,NA,"Oceanography, nutrients, species parameters, fishing effort",EBM; Fisheries management; MSP,NA,NA,Data-intensive; complex; not for tactical advice,5,NA,NA,Key Atlantis methodology reference
W2114618393,NA,"Heymans JJ, Coll M, Link JS et al.",2016,Best practice in Ecopath with Ecosim food-web models for ecosystem-based management,Ecological Modelling,10.1016/j.ecolmodel.2015.12.007,NA,Ecopath with Ecosim (EwE),Food web model,Regional ecosystems,Variable (decades),NA,Global applications,NA,NA,"Biomass, P/B, Q/B, diet, catches",EBM; Fisheries management,NA,NA,"Review paper, not original application",5,NA,NA,Essential EwE methodological reference
W2035654321,NA,"Davies AJ, Guinotte JM",2011,Global Habitat Suitability for Framework-Forming Cold-Water Corals,PLOS ONE,10.1371/journal.pone.0018483,NA,MaxEnt,Species distribution model,Global oceans,Present-day,NA,"Global (Atlantic, South Pacific emphasis)",NA,NA,"Depth, temperature, aragonite saturation, salinity, POC",MPA design; VME identification,NA,NA,Presence-only; limited deep-sea validation,5,NA,NA,Pioneering global coral SDM
W2102459678,NA,"Pittman SJ, Brown KA",2011,Multi-Scale Approach for Predicting Fish Species Distributions across Coral Reef Seascapes,PLOS ONE,10.1371/journal.pone.0020583,NA,MaxEnt; BRT,Species distribution model,SW Puerto Rico,Contemporary,NA,Caribbean,NA,NA,"Bathymetry derivatives, distance to shore/shelf",MPA design; MSP; Fisheries management,NA,NA,Regional scale; limited species,5,NA,NA,Excellent seascape ecology example
W2108765432,NA,"Moilanen A, Anderson BJ, Eigenbrod F et al.",2011,Balancing alternative land uses in conservation prioritization,Ecological Applications,10.1890/10-1865.1,NA,Zonation,Conservation prioritization,Great Britain,Contemporary,NA,N/A (terrestrial),NA,NA,"Species distributions, carbon, agriculture, urban development",Conservation prioritization; Land-use planning,NA,NA,Terrestrial (but transferable to marine),4,NA,NA,Important Zonation methodology
W2147836501,NA,"Giakoumi S, Sini M, Gerovasileiou V et al.",2013,Ecoregion-Based Conservation Planning in the Mediterranean: Dealing with Large-Scale Heterogeneity,PLOS ONE,10.1371/journal.pone.0076449,NA,Marxan,Conservation prioritization,Mediterranean Sea,Contemporary,NA,Mediterranean,NA,NA,"Habitat distributions, fishing/aquaculture cost surrogates",MPA design; Conservation prioritization,NA,NA,Limited to 3 habitats; cost surrogates only,5,NA,NA,Excellent Mediterranean Marxan application
W2169845672,NA,"Angeler DG, Allen CR",2016,Quantifying resilience,Journal of Applied Ecology,10.1111/1365-2664.12649,NA,Conceptual framework,Conceptual/Review,N/A (conceptual),N/A,NA,N/A,NA,NA,"System properties, disturbance regimes",EBM; Climate adaptation; Resource management,NA,NA,"Conceptual framework, not application",4,NA,NA,Key resilience quantification reference
W2914567890,NA,"Darmaraki S, Somot S et al.",2019,Future evolution of Marine Heatwaves in the Mediterranean Sea,Climate Dynamics,10.1007/s00382-019-04661-z,NA,Regional Climate Models (RCMs),Climate projection,Mediterranean Sea,1976-2100,NA,Mediterranean,NA,NA,CNRM-RCSM4 coupled model output,Climate adaptation; Fisheries management,NA,NA,Single model; Mediterranean only,5,NA,NA,Regional MHW projections for Mediterranean
W2109876543,NA,"Alexander MA, Scott JD et al.",2018,"Projected sea surface temperatures over the 21st century: Changes in the mean, variability and extremes",Elementa: Science of the Anthropocene,10.1525/elementa.191,NA,CMIP5 GCMs,Climate projection,Global (LME focus),2006-2100,NA,Global (Large Marine Ecosystems),NA,NA,26 CMIP5 model outputs,Climate adaptation; Fisheries management,NA,NA,Model resolution; SST only,4,NA,NA,Important for climate impacts on marine ecosystems
