doi,title,year,journal,decision_Claude,exclusion_label,justification
10.1016/j.marpol.2023.105574,"TRADE-OFFS BETWEEN FISHERIES, OFFSHORE WIND FARMS AND MARINE PROTECTED AREAS IN THE SOUTHERN NORTH SEA-WINNERS, LOSERS AND EFFECTIVE SPATIAL MANAGEMENT",2023,MARINE POLICY,Include,,Modèle marin + gestion explicite
10.1111/faf.12733,IT IS PAST TIME TO USE ECOSYSTEM MODELS TACTICALLY TO SUPPORT ECOSYSTEM-BASED FISHERIES MANAGEMENT: CASE STUDIES USING ECOPATH WITH ECOSIM IN AN OPERATIONAL MANAGEMENT CONTEXT,2023,FISH AND FISHERIES,Review/synthesis,,Revue de littérature
10.3389/fmars.2024.1489984,A SYSTEMATIC REVIEW ON THE USE OF FOOD WEB MODELS FOR ADDRESSING THE SOCIAL AND ECONOMIC CONSEQUENCES OF FISHERIES POLICIES AND ENVIRONMENTAL CHANGE,2024,FRONTIERS IN MARINE SCIENCE,Review/synthesis,,Revue de littérature
10.1016/j.fishres.2015.03.010,DO MARINE ECOSYSTEM MODELS GIVE CONSISTENT POLICY EVALUATIONS? A COMPARISON OF ATLANTIS AND ECOSIM,2015,FISHERIES RESEARCH,Include,,Modèle marin + gestion explicite
10.1371/journal.pone.0042917,EXPLORING TRADE-OFFS BETWEEN FISHERIES AND CONSERVATION OF THE VAQUITA PORPOISE (PHOCOENA SINUS) USING AN ATLANTIS ECOSYSTEM MODEL,2012,PLOS ONE,Include,,Modèle marin + gestion explicite
10.1007/s10021-014-9803-3,REPRESENTING VARIABLE HABITAT QUALITY IN A SPATIAL FOOD WEB MODEL,2014,ECOSYSTEMS,Include,,Modèle marin + gestion explicite
10.1093/plankt/fbu011,LEAVING MISLEADING LEGACIES BEHIND IN PLANKTON ECOSYSTEM MODELLING,2014,JOURNAL OF PLANKTON RESEARCH,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.1016/j.ecolmodel.2016.01.020,COMBINING EFFORTS TO MAKE MAXIMUM SUSTAINABLE YIELDS AND GOOD ENVIRONMENTAL STATUS MATCH IN A FOOD-WEB MODEL OF THE SOUTHERN NORTH SEA,2016,ECOLOGICAL MODELLING,Include,,Modèle marin + gestion explicite
10.1016/j.ecss.2016.05.019,PROJECTING CHANGES IN THE DISTRIBUTION AND PRODUCTIVITY OF LIVING MARINE RESOURCES: A CRITICAL REVIEW OF THE SUITE OF MODELLING APPROACHES USED IN THE LARGE EUROPEAN PROJECT VECTORS,2018,ESTUARINE COASTAL AND SHELF SCIENCE,Review/synthesis,,Revue de littérature
10.1007/s13280-021-01616-9,ECOSYSTEM APPROACH TO HARVESTING IN THE ARCTIC: WALKING THE TIGHTROPE BETWEEN EXPLOITATION AND CONSERVATION IN THE BARENTS SEA,2022,AMBIO,Include,,Modèle marin + gestion explicite
10.1093/icesjms/fsab125,TRADE-OFFS AND UNCERTAINTIES IN NORTHEAST PACIFIC HERRING FISHERIES: ECOSYSTEM MODELLING AND MANAGEMENT STRATEGY EVALUATION,2021,ICES JOURNAL OF MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1890/13-1403.1,TRADE-OFFS BETWEEN SUPPORTIVE AND PROVISIONING ECOSYSTEM SERVICES OF FORAGE SPECIES IN MARINE FOOD WEBS,2014,ECOLOGICAL APPLICATIONS,Include,,Modèle marin + gestion explicite
10.1111/brv.13108,ORGANISMAL TRADE-OFFS AND THE PACE OF PLANKTONIC LIFE,2024,BIOLOGICAL REVIEWS,Review/synthesis,,Revue de littérature
10.1093/icesjms/fsu242,A NOVEL MODEL OF PREDATOR-PREY INTERACTIONS REVEALS THE SENSITIVITY OF FORAGE FISH: PISCIVORE FISHERY TRADE-OFFS TO ECOLOGICAL CONDITIONS,2015,ICES JOURNAL OF MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1111/1365-2745.12438,GLOBAL BIOGEOCHEMICAL IMPACTS OF PHYTOPLANKTON: A TRAIT-BASED PERSPECTIVE,2015,JOURNAL OF ECOLOGY,Review/synthesis,,Revue de littérature
10.1007/s10452-013-9447-y,SUCCESSFUL STRATEGIES IN SIZE STRUCTURED MIXOTROPHIC FOOD WEBS,2013,AQUATIC ECOLOGY,Include,,Modèle marin + gestion explicite
10.5751/ES-12451-260240,EXPLORING SOCIAL-ECOLOGICAL TRADE-OFFS IN FISHERIES USING A COUPLED FOOD WEB AND HUMAN BEHAVIOR MODEL,2021,ECOLOGY AND SOCIETY,Include,,Modèle marin + gestion explicite
10.1016/j.ecolmodel.2020.109189,INSIGHTS ON INTEGRATING HABITAT PREFERENCES IN PROCESS-ORIENTED ECOLOGICAL MODELS - A CASE STUDY OF THE SOUTHERN NORTH SEA,2020,ECOLOGICAL MODELLING,Include,,Modèle marin + gestion explicite
10.1111/1365-2664.13105,EVALUATING MANAGEMENT STRATEGIES TO OPTIMISE CORAL REEF ECOSYSTEM SERVICES,2018,JOURNAL OF APPLIED ECOLOGY,Review/synthesis,,Revue de littérature
10.5194/bg-11-3397-2014,HOW IMPORTANT IS DIVERSITY FOR CAPTURING ENVIRONMENTAL-CHANGE RESPONSES IN ECOSYSTEM MODELS?,2014,BIOGEOSCIENCES,Include,,Modèle marin + gestion explicite
10.1016/j.pocean.2009.09.010,OPTIMIZATION AND EMERGENCE IN MARINE ECOSYSTEM MODELS,2010,PROGRESS IN OCEANOGRAPHY,Exclude,Not a model,Pas de modèle formel identifié
10.1093/icesjms/fsx072,TRADE-OFFS BETWEEN FORAGE FISH FISHERIES AND THEIR PREDATORS IN THE CALIFORNIA CURRENT,2017,ICES JOURNAL OF MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.3354/meps14165,LOSS OF SUITABLE OCEAN HABITAT AND PHENOLOGICAL SHIFTS AMONG GROUPER AND SNAPPER SPAWNING AGGREGATIONS IN THE GREATER CARIBBEAN UNDER CLIMATE CHANGE,2022,MARINE ECOLOGY PROGRESS SERIES,Include,,Modèle marin + gestion explicite
10.1016/j.fishres.2012.12.005,MANAGING MIXED FISHERIES FOR BIO-ECONOMIC VIABILITY,2013,FISHERIES RESEARCH,Include,,Modèle marin + gestion explicite
10.3390/d14010009,CAN WE AVOID TACIT TRADE-OFFS BETWEEN FLEXIBILITY AND EFFICIENCY IN SYSTEMATIC CONSERVATION PLANNING? THE MEDITERRANEAN SEA AS A CASE STUDY,2022,DIVERSITY-BASEL,Include,,Modèle marin + gestion explicite
10.1093/plankt/fbt019,TRAIT-BASED APPROACHES TO ZOOPLANKTON COMMUNITIES,2013,JOURNAL OF PLANKTON RESEARCH,Exclude,Terrestrial/Freshwater,Modèle sans système marin
10.3389/fevo.2021.703813,SOCIO-ECOLOGICAL OUTCOMES OF SINGLE-SPECIES FISHERIES MANAGEMENT: THE CASE OF YELLOW PERCH IN LAKE ERIE,2021,FRONTIERS IN ECOLOGY AND EVOLUTION,Include,,Modèle marin + gestion explicite
10.1093/plankt/fbv054,MODELLING EMERGENT TROPHIC STRATEGIES IN PLANKTON,2015,JOURNAL OF PLANKTON RESEARCH,Review/synthesis,,Revue de littérature
10.1071/MF23024,"MANAGING BIOLOGICAL, ECONOMIC AND SOCIAL TRADE-OFFS IN THE AUSTRALIAN SOUTHERN AND EASTERN SCALEFISH AND SHARK FISHERY",2023,MARINE AND FRESHWATER RESEARCH,Include,,Modèle marin + gestion explicite
10.1111/faf.12093,ECOSYSTEM MODELS FOR FISHERIES MANAGEMENT: FINDING THE SWEET SPOT,2016,FISH AND FISHERIES,Include,,Modèle marin + gestion explicite
10.1007/s10666-015-9486-y,THE COST OF CO-VIABILITY IN THE AUSTRALIAN NORTHERN PRAWN FISHERY,2016,ENVIRONMENTAL MODELING & ASSESSMENT,Include,,Modèle marin + gestion explicite
10.1002/ece3.5385,LINKING DEMOGRAPHIC AND FOOD-WEB MODELS TO UNDERSTAND MANAGEMENT TRADE-OFFS,2019,ECOLOGY AND EVOLUTION,Include,,Modèle marin + gestion explicite
10.1016/j.ecolecon.2014.01.013,RISK VERSUS ECONOMIC PERFORMANCE IN A MIXED FISHERY,2014,ECOLOGICAL ECONOMICS,Include,,Modèle marin + gestion explicite
10.3354/meps10988,BALANCING COMPLEXITY AND FEASIBILITY IN MEDITERRANEAN COASTAL FOOD-WEB MODELS: UNCERTAINTY AND CONSTRAINTS,2014,MARINE ECOLOGY PROGRESS SERIES,Include,,Modèle marin + gestion explicite
10.1111/faf.12804,"SIMULATING BENEFITS, COSTS AND TRADE-OFFS OF SPATIAL MANAGEMENT IN MARINE SOCIAL-ECOLOGICAL SYSTEMS",2024,FISH AND FISHERIES,Include,,Modèle marin + gestion explicite
10.1371/journal.pone.0328505,"IS THERE A ""SWEET SPOT"" OF MODEL COMPLEXITY FOR QUALITATIVE MODELS USED IN ECOSYSTEM-BASED MANAGEMENT?",2025,PLOS ONE,Include,,Modèle marin + gestion explicite
10.1016/j.fishres.2020.105593,"SIMULATING TRADE-OFFS BETWEEN SOCIO-ECONOMIC AND CONSERVATION OBJECTIVES FOR LAKE VICTORIA (EAST AFRICA) USING MULTISPECIES, MULTIFLEET ECOSYSTEM MODELS",2020,FISHERIES RESEARCH,Include,,Modèle marin + gestion explicite
10.1007/s11160-017-9482-1,ECOSYSTEM MODELING IN THE GULF OF MEXICO: CURRENT STATUS AND FUTURE NEEDS TO ADDRESS ECOSYSTEM-BASED FISHERIES MANAGEMENT AND RESTORATION ACTIVITIES,2017,REVIEWS IN FISH BIOLOGY AND FISHERIES,Review/synthesis,,Revue de littérature
10.1016/j.marpol.2016.12.018,INCORPORATING ECONOMICS INTO FISHERIES MANAGEMENT FRAMEWORKS IN AUSTRALIA,2017,MARINE POLICY,Exclude,Not a model,Pas de modèle formel identifié
10.1080/10641262.2010.505670,QUALITATIVE MODELS TO COMPLEMENT QUANTITATIVE ECOSYSTEM MODELS FOR THE ANALYSIS OF DATA-LIMITED MARINE ECOSYSTEMS AND FISHERIES,2010,REVIEWS IN FISHERIES SCIENCE,Include,,Modèle marin + gestion explicite
10.3354/meps11271,SPATIAL ANALYSES REVEAL CONSERVATION BENEFITS FOR COLD-WATER CORALS AND SPONGES FROM SMALL CHANGES IN A TRAWL FISHERY FOOTPRINT,2015,MARINE ECOLOGY PROGRESS SERIES,Include,,Modèle marin + gestion explicite
10.1111/faf.12171,EFFICIENCY OF FISHERIES IS INCREASING AT THE ECOSYSTEM LEVEL,2017,FISH AND FISHERIES,Exclude,Not a model,Pas de modèle formel identifié
10.1093/icesjms/fsab087,BALANCING BIOLOGICAL AND ECONOMIC GOALS IN COMMERCIAL AND RECREATIONAL FISHERIES: SYSTEMS MODELLING OF SEA BASS FISHERIES,2021,ICES JOURNAL OF MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.3389/fevo.2021.624763,"SOUTHERN OCEAN FOOD WEB MODELLING: PROGRESS, PROGNOSES, AND FUTURE PRIORITIES FOR RESEARCH AND POLICY MAKERS",2021,FRONTIERS IN ECOLOGY AND EVOLUTION,Review/synthesis,,Revue de littérature
10.1093/icesjms/fst060,COMPARING AND COUPLING A WATER QUALITY AND A FISHERIES ECOSYSTEM MODEL OF THE CHESAPEAKE BAY FOR THE EXPLORATORY ASSESSMENT OF RESOURCE MANAGEMENT STRATEGIES,2014,ICES JOURNAL OF MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1111/fme.12186,TRADE-OFFS IN TRANSITIONS BETWEEN INDIGENOUS AND COMMERCIAL FISHING SECTORS: THE TORRES STRAIT TROPICAL ROCK LOBSTER FISHERY,2016,FISHERIES MANAGEMENT AND ECOLOGY,Include,,Modèle marin + gestion explicite
10.1093/icesjms/fsab251,"ROBUST, ECOLOGICAL-ECONOMIC MULTISPECIES MANAGEMENT OF CENTRAL BALTIC FISHERY RESOURCES",2022,ICES JOURNAL OF MARINE SCIENCE,Include,,Modèle marin + gestion explicite
10.1016/j.dsr2.2015.04.018,END-TO-END MODELING AS PART OF AN INTEGRATED RESEARCH PROGRAM IN THE BERING SEA,2016,DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY,Include,,Modèle marin + gestion explicite
10.1016/j.fishres.2016.05.031,TRADE-OFFS BETWEEN SOCIOECONOMIC AND CONSERVATION MANAGEMENT OBJECTIVES IN STOCK ENHANCEMENT OF MARINE RECREATIONAL FISHERIES,2017,FISHERIES RESEARCH,Include,,Modèle marin + gestion explicite
10.1111/ecog.04707,TRADE-OFFS IN COVARIATE SELECTION FOR SPECIES DISTRIBUTION MODELS: A METHODOLOGICAL COMPARISON,2020,ECOGRAPHY,Include,,Modèle marin + gestion explicite
10.1111/1365-2664.12404,EVALUATING CONSERVATION AND FISHERIES MANAGEMENT STRATEGIES BY LINKING SPATIAL PRIORITIZATION SOFTWARE AND ECOSYSTEM AND FISHERIES MODELLING TOOLS,2015,JOURNAL OF APPLIED ECOLOGY,Include,,Modèle marin + gestion explicite
